,artist,title,negative,neutral,positive,compound,sentiment_type,joy,anger,sadness,emotion
0,Taylor Swift,​cardigan,0.055,0.778,0.168,0.9933,POSITIVE,16,5,4,joy
1,Taylor Swift,​exile,0.084,0.84,0.076,-0.7411,NEGATIVE,1,6,10,sadness
2,Taylor Swift,All Too Well (10 Minute Version) (Taylor’s Version) [From the Vault],0.061,0.801,0.138,0.9978,POSITIVE,12,6,22,sadness
3,Taylor Swift,Lover,0.035,0.758,0.207,0.9955,POSITIVE,9,3,4,joy
4,Taylor Swift,​the 1,0.062,0.768,0.17,0.9902,POSITIVE,9,7,1,joy
5,Taylor Swift,Look What You Made Me Do,0.115,0.816,0.069,-0.9798,NEGATIVE,2,7,5,anger
6,Taylor Swift,​august,0.031,0.816,0.153,0.9958,POSITIVE,13,2,11,joy
7,Taylor Swift,​betty,0.105,0.752,0.143,0.9572,POSITIVE,13,3,4,joy
8,Taylor Swift,End Game,0.087,0.809,0.104,0.8911,POSITIVE,11,14,46,sadness
9,Taylor Swift,You Need To Calm Down,0.087,0.724,0.189,0.9911,POSITIVE,4,5,5,anger
10,Taylor Swift,ME!,0.078,0.706,0.216,0.998,POSITIVE,40,3,2,joy
11,Taylor Swift,Blank Space,0.149,0.688,0.163,0.8537,POSITIVE,24,25,21,anger
12,Taylor Swift,​champagne problems,0.117,0.761,0.122,0.1499,NEUTRAL,6,2,5,joy
13,Taylor Swift,...Ready for It?,0.094,0.763,0.144,0.9812,POSITIVE,9,2,3,joy
14,Taylor Swift,​my tears ricochet,0.184,0.696,0.121,-0.9793,NEGATIVE,3,11,6,anger
15,Taylor Swift,​willow,0.083,0.78,0.137,0.9829,POSITIVE,4,9,17,sadness
16,Taylor Swift,​invisible string,0.05,0.851,0.099,0.9585,POSITIVE,9,4,5,joy
17,Taylor Swift,Cruel Summer,0.165,0.67,0.164,-0.9128,NEGATIVE,12,16,21,sadness
18,Taylor Swift,​the last great american dynasty,0.087,0.754,0.159,0.9868,POSITIVE,15,8,4,joy
19,Taylor Swift,​seven,0.072,0.649,0.279,0.997,POSITIVE,10,5,6,joy
20,Taylor Swift,Delicate,0.056,0.78,0.164,0.9945,POSITIVE,2,2,7,sadness
21,Taylor Swift,Call It What You Want,0.03,0.718,0.252,0.9987,POSITIVE,10,1,1,joy
22,Taylor Swift,All Too Well,0.068,0.796,0.136,0.9892,POSITIVE,5,4,8,sadness
23,Taylor Swift,Style,0.006,0.9,0.093,0.9894,POSITIVE,7,0,1,joy
24,Taylor Swift,​illicit affairs,0.139,0.803,0.059,-0.9754,NEGATIVE,3,11,9,anger
25,Taylor Swift,​this is me trying,0.102,0.832,0.066,-0.8606,NEGATIVE,0,5,4,anger
26,Taylor Swift,Love Story,0.058,0.791,0.151,0.993,POSITIVE,19,2,3,joy
27,Taylor Swift,​evermore,0.17,0.784,0.046,-0.995,NEGATIVE,4,14,20,sadness
28,Taylor Swift,​happiness,0.125,0.639,0.236,0.9976,POSITIVE,20,4,11,joy
29,Taylor Swift,​peace,0.119,0.734,0.147,0.9223,POSITIVE,11,3,8,joy
30,Taylor Swift,Gorgeous,0.153,0.604,0.243,0.9966,POSITIVE,22,15,19,joy
31,Taylor Swift,​tolerate it,0.079,0.724,0.196,0.9943,POSITIVE,13,9,10,joy
32,Taylor Swift,​mirrorball,0.058,0.82,0.123,0.9649,POSITIVE,14,0,1,joy
33,Taylor Swift,​mad woman,0.26,0.663,0.076,-0.9971,NEGATIVE,3,26,23,anger
34,Taylor Swift,​ivy,0.163,0.704,0.134,-0.9488,NEGATIVE,2,13,9,anger
35,Taylor Swift,The Man,0.121,0.81,0.069,-0.9866,NEGATIVE,4,7,13,sadness
36,Taylor Swift,Don’t Blame Me,0.112,0.787,0.101,-0.7015,NEGATIVE,28,18,13,joy
37,Taylor Swift,I Did Something Bad,0.1,0.662,0.238,0.9985,POSITIVE,28,12,13,joy
38,Taylor Swift,Dress,0.099,0.782,0.119,0.9782,POSITIVE,7,0,0,joy
39,Taylor Swift,"​no body, no crime",0.1,0.795,0.105,0.5093,POSITIVE,4,8,6,anger
40,Taylor Swift,​gold rush,0.151,0.666,0.183,0.9592,POSITIVE,13,3,9,joy
41,Taylor Swift,Getaway Car,0.084,0.831,0.086,0.881,POSITIVE,9,9,16,sadness
42,Taylor Swift,​hoax,0.183,0.668,0.149,-0.1906,NEUTRAL,6,8,14,sadness
43,Taylor Swift,​epiphany,0.0,0.921,0.079,0.9371,POSITIVE,2,2,6,sadness
44,Taylor Swift,Wildest Dreams,0.072,0.723,0.205,0.996,POSITIVE,2,4,6,sadness
45,Taylor Swift,The Archer,0.143,0.697,0.16,0.9255,POSITIVE,4,7,8,sadness
